I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
0.000000,37.696735,0.000000,215.459900,0.000000,0.000000,0.000000,332.000000,0.000000,263.000000,0.000000,7.000000,64.000000,199.000000,1192.000000,784.000000
0.000000,36.988419,215.746292,215.462448,0.000000,0.000000,0.000000,332.000000,0.000000,263.000000,0.000000,7.000000,64.000000,199.000000,1215.000000,800.000000
0.000000,35.884979,215.746292,215.445984,0.000000,0.000000,0.000000,335.000000,0.000000,263.000000,0.000000,7.000000,64.000000,64.000000,1251.000000,824.000000
0.000000,35.130653,215.746292,215.457428,0.000000,0.000000,0.000000,338.000000,0.000000,263.000000,0.000000,7.000000,64.000000,64.000000,1275.000000,840.000000
0.000000,33.997955,215.746292,215.613663,0.000000,0.000000,0.000000,341.000000,0.000000,263.000000,0.000000,7.000000,64.000000,64.000000,1311.000000,863.000000
0.000000,33.243889,215.746292,216.196320,0.000000,0.000000,0.000000,344.000000,0.000000,263.000000,0.000000,7.000000,64.000000,65.000000,1335.000000,879.000000
0.000000,32.182552,215.746292,216.118500,0.000000,0.000000,0.000000,351.000000,0.000000,263.000000,0.000000,7.000000,64.000000,67.000000,1369.000000,902.000000
0.000000,31.498856,215.746292,216.174149,0.000000,0.000000,0.000000,351.000000,0.000000,263.000000,0.000000,7.000000,64.000000,67.000000,1393.000000,918.000000
0.000000,30.422338,215.746292,216.403397,0.000000,0.000000,0.000000,358.000000,0.000000,263.000000,0.000000,7.000000,64.000000,67.000000,1429.000000,942.000000
0.000000,29.702721,215.746292,216.529846,0.000000,0.000000,0.000000,364.000000,0.000000,263.000000,0.000000,7.000000,64.000000,67.000000,1453.000000,958.000000
0.000000,28.655014,215.746292,216.801544,0.000000,0.000000,0.000000,367.000000,0.000000,263.000000,0.000000,7.000000,64.000000,67.000000,1488.000000,982.000000
0.000000,27.955835,215.746292,216.954422,0.000000,0.000000,0.000000,372.000000,0.000000,263.000000,0.000000,7.000000,64.000000,67.000000,1512.000000,997.000000
0.000000,26.909513,215.746292,217.140747,0.000000,0.000000,0.000000,506.000000,0.000000,393.000000,0.000000,11.000000,65.000000,199.000000,1547.000000,1016.000000
0.000000,26.201313,215.746292,217.238251,0.000000,0.000000,0.000000,506.000000,0.000000,393.000000,0.000000,11.000000,65.000000,199.000000,1571.000000,1032.000000
0.000000,25.122742,215.746292,217.408783,0.000000,0.000000,0.000000,509.000000,0.000000,393.000000,0.000000,11.000000,65.000000,64.000000,1607.000000,1056.000000
0.000000,24.398190,215.746292,217.485916,0.000000,0.000000,0.000000,512.000000,0.000000,393.000000,0.000000,11.000000,65.000000,64.000000,1631.000000,1071.000000
0.000000,23.321976,215.746292,217.537491,0.000000,0.000000,0.000000,516.000000,0.000000,393.000000,0.000000,11.000000,65.000000,64.000000,1667.000000,1094.000000
0.000000,22.627142,215.746292,217.560379,0.000000,0.000000,0.000000,520.000000,0.000000,393.000000,0.000000,11.000000,65.000000,65.000000,1690.000000,1110.000000
0.000000,21.560795,215.746292,217.552887,0.000000,0.000000,0.000000,539.000000,0.000000,393.000000,0.000000,11.000000,67.000000,65.000000,1725.000000,1134.000000
0.000000,20.811523,215.746292,217.520218,0.000000,0.000000,0.000000,539.000000,0.000000,393.000000,0.000000,11.000000,67.000000,65.000000,1749.000000,1150.000000
0.000000,19.635599,215.746292,217.423279,0.000000,0.000000,0.000000,542.000000,0.000000,393.000000,0.000000,11.000000,67.000000,67.000000,1785.000000,1174.000000
0.000000,18.854006,215.746292,217.343475,0.000000,0.000000,0.000000,547.000000,0.000000,393.000000,0.000000,11.000000,67.000000,67.000000,1809.000000,1190.000000
0.000000,17.695732,215.746292,217.191742,0.000000,0.000000,0.000000,550.000000,0.000000,393.000000,0.000000,11.000000,67.000000,67.000000,1844.000000,1213.000000
0.000000,16.952465,215.746292,217.137070,0.000000,0.000000,0.000000,555.000000,0.000000,393.000000,0.000000,11.000000,67.000000,67.000000,1867.000000,1229.000000
0.000000,15.790359,215.746292,217.048004,0.000000,0.000000,0.000000,689.000000,130.000000,393.000000,4.000000,11.000000,199.000000,67.000000,1896.000000,1252.000000
0.000000,14.983889,215.746292,217.018539,0.000000,0.000000,0.000000,689.000000,130.000000,393.000000,4.000000,11.000000,199.000000,67.000000,1920.000000,1268.000000
0.000000,13.709146,215.746292,216.925385,0.000000,0.000000,0.000000,823.000000,130.000000,524.000000,4.000000,14.000000,64.000000,199.000000,1956.000000,1288.000000
0.000000,12.839485,215.746292,216.872437,0.000000,0.000000,0.000000,828.000000,130.000000,524.000000,4.000000,14.000000,64.000000,64.000000,1980.000000,1303.000000
0.000000,11.521638,215.746292,216.755997,0.000000,0.000000,0.000000,831.000000,130.000000,524.000000,4.000000,14.000000,64.000000,64.000000,2014.000000,1327.000000
0.000000,10.593900,215.746292,216.698959,0.000000,0.000000,0.000000,844.000000,130.000000,524.000000,4.000000,14.000000,65.000000,64.000000,2037.000000,1343.000000
0.000000,9.120625,215.746292,216.580719,0.000000,0.000000,0.000000,856.000000,130.000000,524.000000,4.000000,14.000000,67.000000,65.000000,2073.000000,1367.000000
0.000000,8.095510,215.746292,216.540939,0.000000,0.000000,0.000000,856.000000,130.000000,524.000000,4.000000,14.000000,67.000000,65.000000,2097.000000,1383.000000
0.000000,6.441736,215.746292,216.460831,0.000000,0.000000,0.000000,862.000000,130.000000,524.000000,4.000000,14.000000,67.000000,65.000000,2132.000000,1406.000000
0.000000,5.257596,215.746292,216.413406,0.000000,0.000000,0.000000,869.000000,130.000000,524.000000,4.000000,14.000000,67.000000,67.000000,2156.000000,1421.000000
0.000000,3.459330,215.746292,216.340469,0.000000,0.000000,0.000000,873.000000,130.000000,524.000000,4.000000,14.000000,67.000000,67.000000,2191.000000,1445.000000
0.000000,2.218189,215.746292,216.296249,0.000000,0.000000,0.000000,876.000000,130.000000,524.000000,4.000000,14.000000,67.000000,67.000000,2215.000000,1461.000000
0.000000,0.313256,215.746292,216.281418,0.000000,0.000000,0.000000,880.000000,130.000000,524.000000,4.000000,14.000000,67.000000,67.000000,2251.000000,1485.000000
0.000000,-0.868937,215.746292,216.292557,0.000000,0.000000,0.000000,880.000000,130.000000,524.000000,4.000000,14.000000,67.000000,67.000000,2275.000000,1501.000000
0.000000,-2.456256,215.746292,216.331940,0.000000,0.000000,0.000000,1016.000000,259.000000,524.000000,8.000000,14.000000,64.000000,67.000000,2302.000000,1524.000000
0.000000,-3.380114,215.746292,216.356461,0.000000,0.000000,0.000000,1156.000000,259.000000,655.000000,8.000000,18.000000,64.000000,199.000000,2324.000000,1535.000000
0.000000,-4.593883,215.746292,216.408310,0.000000,0.000000,0.000000,1160.000000,259.000000,655.000000,8.000000,18.000000,64.000000,64.000000,2360.000000,1559.000000
0.000000,-5.321376,215.746292,216.422638,0.000000,0.000000,0.000000,1164.000000,259.000000,655.000000,8.000000,18.000000,64.000000,64.000000,2384.000000,1575.000000
0.000000,-6.297718,215.746292,216.418396,0.000000,0.000000,0.000000,1167.000000,259.000000,655.000000,8.000000,18.000000,64.000000,64.000000,2420.000000,1598.000000
0.000000,-6.874077,215.746292,216.471954,0.000000,0.000000,0.000000,1167.000000,259.000000,655.000000,8.000000,18.000000,64.000000,64.000000,2444.000000,1613.000000
0.000000,-7.567973,215.746292,216.536621,0.000000,0.000000,0.000000,1174.000000,259.000000,655.000000,8.000000,18.000000,65.000000,65.000000,2478.000000,1637.000000
0.000000,-7.930594,215.746292,216.598892,0.000000,0.000000,0.000000,1177.000000,259.000000,655.000000,8.000000,18.000000,65.000000,65.000000,2502.000000,1653.000000
0.000000,-8.331851,215.746292,216.701859,0.000000,0.000000,0.000000,1180.000000,259.000000,655.000000,8.000000,18.000000,65.000000,67.000000,2538.000000,1677.000000
0.000000,-8.493702,215.746292,216.770874,0.000000,0.000000,0.000000,1183.000000,259.000000,655.000000,8.000000,18.000000,65.000000,67.000000,2562.000000,1693.000000
0.000000,-8.600581,215.746292,216.842346,0.000000,0.000000,0.000000,1186.000000,259.000000,655.000000,8.000000,18.000000,65.000000,67.000000,2598.000000,1716.000000
0.000000,-8.583707,215.746292,216.905823,0.000000,0.000000,0.000000,1186.000000,259.000000,655.000000,8.000000,18.000000,65.000000,67.000000,2621.000000,1731.000000
0.000000,-8.449545,215.746292,216.974869,0.000000,0.000000,0.000000,1192.000000,259.000000,655.000000,8.000000,18.000000,65.000000,67.000000,2656.000000,1755.000000
0.000000,-8.290671,215.746292,216.992203,0.000000,0.000000,0.000000,1195.000000,259.000000,655.000000,8.000000,18.000000,65.000000,67.000000,2680.000000,1771.000000
0.000000,-7.955091,215.746292,217.016724,0.000000,0.000000,0.000000,1327.000000,259.000000,786.000000,8.000000,22.000000,65.000000,199.000000,2716.000000,1790.000000
0.000000,-7.670746,215.746292,217.007263,0.000000,0.000000,0.000000,1332.000000,259.000000,786.000000,8.000000,22.000000,67.000000,64.000000,2740.000000,1806.000000
0.000000,-7.156047,215.746292,216.985519,0.000000,0.000000,0.000000,1336.000000,259.000000,786.000000,8.000000,22.000000,67.000000,64.000000,2775.000000,1829.000000
